date,open,high,low,close,volume
2021-04-22 00:00:00+05:30,43.0,45.0,42.9,43.2,6907
2021-04-23 00:00:00+05:30,43.05,43.5,42.0,43.35,253
2021-04-26 00:00:00+05:30,43.4,43.4,43.35,43.35,45
2021-04-27 00:00:00+05:30,43.85,43.9,42.6,42.8,1619
2021-04-28 00:00:00+05:30,42.8,42.8,41.5,41.95,10
2021-04-29 00:00:00+05:30,43.9,43.9,42.0,42.4,2868
2021-04-30 00:00:00+05:30,42.3,43.2,40.3,40.85,685
2021-05-03 00:00:00+05:30,42.8,42.8,38.85,39.95,3331
2021-05-04 00:00:00+05:30,40.9,41.0,40.9,41.0,48
2021-05-05 00:00:00+05:30,41.0,41.9,39.05,41.05,1158
2021-05-06 00:00:00+05:30,42.3,42.35,39.05,40.95,85
2021-05-07 00:00:00+05:30,40.05,40.75,39.0,40.4,463
2021-05-10 00:00:00+05:30,40.4,42.3,39.0,39.5,470
2021-05-11 00:00:00+05:30,39.55,41.2,39.55,40.0,1236
2021-05-12 00:00:00+05:30,40.0,40.75,40.0,40.5,103
2021-05-14 00:00:00+05:30,41.45,41.5,39.95,40.0,1106
2021-05-17 00:00:00+05:30,41.5,41.5,38.2,41.35,1724
2021-05-18 00:00:00+05:30,43.25,43.4,39.5,43.4,8650
2021-05-19 00:00:00+05:30,45.55,45.55,45.55,45.55,11423
2021-05-20 00:00:00+05:30,47.8,47.8,46.25,47.8,5211
2021-05-21 00:00:00+05:30,50.15,50.15,49.0,50.15,14946
2021-05-24 00:00:00+05:30,52.65,52.65,52.6,52.65,14543
2021-05-25 00:00:00+05:30,52.7,55.25,52.65,55.0,26575
2021-05-26 00:00:00+05:30,57.7,57.75,57.7,57.75,10788
2021-05-27 00:00:00+05:30,60.6,60.6,57.3,60.5,36337
2021-05-28 00:00:00+05:30,62.0,63.5,62.0,63.5,18850
2021-05-31 00:00:00+05:30,66.0,66.0,60.35,60.35,7709
2021-06-01 00:00:00+05:30,57.35,57.35,57.35,57.35,444
2021-06-02 00:00:00+05:30,54.5,54.5,54.5,54.5,5869
2021-06-03 00:00:00+05:30,51.8,56.95,51.8,53.35,21167
2021-06-04 00:00:00+05:30,55.9,56.0,52.05,53.9,6828
2021-06-07 00:00:00+05:30,53.9,53.9,51.75,52.6,3669
2021-06-08 00:00:00+05:30,54.9,54.9,51.3,53.9,4228
2021-06-09 00:00:00+05:30,56.5,56.5,53.9,53.9,6138
2021-06-10 00:00:00+05:30,56.5,56.5,53.15,53.8,1538
2021-06-11 00:00:00+05:30,54.5,54.5,52.2,52.35,2369
2021-06-14 00:00:00+05:30,54.35,54.35,50.0,52.1,4901
2021-06-15 00:00:00+05:30,54.45,54.5,52.55,52.65,1291
2021-06-16 00:00:00+05:30,51.6,54.9,51.1,51.45,4009
2021-06-17 00:00:00+05:30,51.55,51.95,49.0,49.0,11702
2021-06-18 00:00:00+05:30,50.45,50.45,46.55,47.6,4527
2021-06-21 00:00:00+05:30,48.95,49.1,48.05,48.55,1613
2021-06-22 00:00:00+05:30,48.5,50.0,47.15,48.85,1862
2021-06-23 00:00:00+05:30,50.9,51.0,49.75,51.0,4994
2021-06-24 00:00:00+05:30,52.0,52.0,49.7,49.7,2788
2021-06-25 00:00:00+05:30,48.95,51.85,48.15,49.9,2651
2021-06-28 00:00:00+05:30,51.7,51.7,49.5,50.95,3324
2021-06-29 00:00:00+05:30,50.0,51.0,49.55,50.55,4392
2021-06-30 00:00:00+05:30,49.65,51.85,49.5,50.05,1883
2021-07-01 00:00:00+05:30,50.45,50.45,49.0,49.8,1557
2021-07-02 00:00:00+05:30,51.2,52.25,49.9,50.3,1462
2021-07-05 00:00:00+05:30,52.5,52.5,49.5,50.6,3504
2021-07-06 00:00:00+05:30,50.0,51.3,48.6,50.15,4140
2021-07-07 00:00:00+05:30,51.95,51.95,48.9,49.2,1507
2021-07-08 00:00:00+05:30,50.85,50.85,48.15,49.55,2181
2021-07-09 00:00:00+05:30,51.6,51.6,48.65,48.85,1555
2021-07-12 00:00:00+05:30,50.85,50.9,49.25,50.8,2879
2021-07-13 00:00:00+05:30,52.95,53.3,49.05,51.95,2803
2021-07-14 00:00:00+05:30,53.0,53.0,51.05,51.9,4238
2021-07-15 00:00:00+05:30,52.95,52.95,50.45,51.85,425
2021-07-16 00:00:00+05:30,52.6,52.9,50.15,50.95,1448
2021-07-19 00:00:00+05:30,52.9,52.9,50.05,52.45,2632
2021-07-20 00:00:00+05:30,52.5,52.5,50.0,50.4,1084
2021-07-22 00:00:00+05:30,51.85,52.1,50.9,50.9,822
2021-07-23 00:00:00+05:30,50.25,52.15,50.0,50.55,2504
2021-07-26 00:00:00+05:30,52.6,53.05,48.3,49.25,3473
2021-07-27 00:00:00+05:30,47.9,50.35,47.55,48.1,2223
2021-07-28 00:00:00+05:30,49.9,50.5,49.05,50.4,1740
2021-07-29 00:00:00+05:30,51.9,51.9,50.0,50.85,31
2021-07-30 00:00:00+05:30,51.0,52.45,48.6,49.8,1724
2021-08-02 00:00:00+05:30,49.8,51.9,47.35,49.05,7910
2021-08-03 00:00:00+05:30,48.55,50.3,48.15,49.5,432
2021-08-04 00:00:00+05:30,51.55,51.6,48.15,49.8,2077
2021-08-05 00:00:00+05:30,52.0,52.0,48.5,49.1,1362
2021-08-06 00:00:00+05:30,51.35,51.35,47.65,48.2,64
2021-08-09 00:00:00+05:30,47.4,52.25,47.4,51.2,7282
2021-08-10 00:00:00+05:30,51.95,52.0,49.75,49.75,1515
2021-08-11 00:00:00+05:30,51.9,51.95,48.05,51.45,1994
2021-08-12 00:00:00+05:30,52.0,52.0,48.1,50.85,695
2021-08-13 00:00:00+05:30,51.95,51.95,47.7,48.9,4062
2021-08-16 00:00:00+05:30,50.4,50.4,44.05,45.85,13625
2021-08-17 00:00:00+05:30,45.85,47.0,42.1,44.9,2858
2021-08-18 00:00:00+05:30,44.9,47.65,42.0,45.2,3851
2021-08-20 00:00:00+05:30,46.55,46.55,41.25,45.9,1082
2021-08-23 00:00:00+05:30,46.45,46.45,42.55,42.7,687
2021-08-24 00:00:00+05:30,42.25,42.35,40.55,41.55,1571
2021-08-25 00:00:00+05:30,45.7,45.7,44.05,45.05,4517
2021-08-26 00:00:00+05:30,45.05,46.8,41.25,45.0,856
2021-08-27 00:00:00+05:30,45.0,49.4,44.95,46.55,4270
2021-08-30 00:00:00+05:30,49.75,49.8,47.3,48.55,1051
2021-08-31 00:00:00+05:30,50.05,50.05,45.0,47.75,1067
2021-09-01 00:00:00+05:30,47.45,50.0,45.15,46.3,1349
2021-09-02 00:00:00+05:30,45.3,47.85,43.15,45.75,508
2021-09-03 00:00:00+05:30,47.85,47.85,43.35,44.3,3248
2021-09-06 00:00:00+05:30,43.85,48.6,43.7,46.05,5479
2021-09-07 00:00:00+05:30,47.45,47.95,44.1,45.7,5108
2021-09-08 00:00:00+05:30,45.0,47.5,45.0,46.0,2387
2021-09-09 00:00:00+05:30,44.9,47.8,44.5,45.05,972
2021-09-13 00:00:00+05:30,46.4,46.4,41.25,45.25,2029
2021-09-14 00:00:00+05:30,46.9,46.9,44.55,46.0,976
2021-09-15 00:00:00+05:30,46.95,48.0,43.0,44.8,4959
2021-09-16 00:00:00+05:30,46.75,47.35,44.5,44.95,4804
2021-09-17 00:00:00+05:30,45.0,46.9,45.0,45.85,887
2021-09-20 00:00:00+05:30,47.2,47.2,44.45,44.5,3685
2021-09-21 00:00:00+05:30,44.75,45.0,44.5,45.0,117
2021-09-22 00:00:00+05:30,45.15,45.5,41.35,45.25,1164
2021-09-23 00:00:00+05:30,45.25,45.3,43.9,45.1,1007
2021-09-24 00:00:00+05:30,44.5,45.4,40.6,42.4,6787
2021-09-27 00:00:00+05:30,45.0,45.0,42.05,43.85,1214
2021-09-28 00:00:00+05:30,43.85,45.0,40.2,43.55,4361
2021-09-29 00:00:00+05:30,44.45,44.45,41.45,43.9,906
2021-09-30 00:00:00+05:30,43.2,43.95,42.0,42.45,2849
2021-10-01 00:00:00+05:30,43.5,44.0,42.1,43.35,2561
2021-10-04 00:00:00+05:30,43.35,44.65,42.5,44.4,2656
2021-10-05 00:00:00+05:30,44.25,44.5,43.4,44.35,2132
2021-10-06 00:00:00+05:30,46.85,46.85,43.9,44.8,1509
2021-10-07 00:00:00+05:30,44.8,44.8,44.1,44.1,570
2021-10-08 00:00:00+05:30,45.0,52.9,44.1,50.0,46214
2021-10-11 00:00:00+05:30,50.0,54.0,48.55,50.55,13564
2021-10-12 00:00:00+05:30,51.0,60.6,51.0,51.7,16004
2021-10-13 00:00:00+05:30,52.75,54.0,51.8,52.8,7336
2021-10-14 00:00:00+05:30,53.25,53.25,51.3,52.45,2934
2021-10-18 00:00:00+05:30,52.45,53.25,49.55,51.45,5657
2021-10-19 00:00:00+05:30,51.0,51.7,49.25,50.25,5229
2021-10-20 00:00:00+05:30,54.85,54.85,48.1,49.4,1497
2021-10-21 00:00:00+05:30,50.0,50.0,48.1,49.0,438
2021-10-22 00:00:00+05:30,48.5,48.5,48.0,48.05,781
2021-10-25 00:00:00+05:30,54.9,54.9,48.05,48.65,4927
2021-10-26 00:00:00+05:30,48.0,50.5,47.5,49.55,2104
2021-10-27 00:00:00+05:30,49.6,49.6,48.0,48.3,1809
2021-10-28 00:00:00+05:30,53.75,53.75,45.8,48.2,4830
2021-10-29 00:00:00+05:30,47.5,48.45,45.55,46.9,3345
2021-11-01 00:00:00+05:30,50.95,50.95,44.3,47.75,10662
2021-11-02 00:00:00+05:30,47.05,48.9,46.25,48.6,4459
2021-11-03 00:00:00+05:30,49.8,49.8,45.45,46.45,1526
2021-11-04 00:00:00+05:30,50.85,50.85,46.95,46.95,196
2021-11-08 00:00:00+05:30,47.1,51.75,46.3,49.65,10534
2021-11-09 00:00:00+05:30,51.0,51.0,47.3,48.0,3593
2021-11-10 00:00:00+05:30,54.0,54.0,47.15,51.45,14032
2021-11-11 00:00:00+05:30,49.2,52.45,48.65,49.5,1797
2021-11-12 00:00:00+05:30,49.0,52.0,48.25,51.2,4144
2021-11-15 00:00:00+05:30,52.75,52.75,48.3,50.45,2721
2021-11-16 00:00:00+05:30,50.2,50.2,48.3,49.15,883
2021-11-17 00:00:00+05:30,53.0,53.0,47.6,47.75,6331
2021-11-18 00:00:00+05:30,48.15,48.9,48.0,48.1,372
2021-11-22 00:00:00+05:30,50.9,50.9,46.35,46.65,3950
